Location Number,Location Name,Location Type,Address,City,State,Zip Code,Phone Number,County,Latitude,Longitude,Accuracy
IA0186-002,Coon Rapids Public Library,Central Library,123 3Rd Ave,Coon Rapids,IA,50058,(712) 999-5410,Carroll,41.8711189,-94.6747765,STREET_ADDRESS: RANGE_INTERPOLATED
IA0186,Coon Rapids Public Library,Library System,123 3Rd Ave,Coon Rapids,IA,50058,(712) 999-5410,Carroll,41.8711189,-94.6747765,STREET_ADDRESS: RANGE_INTERPOLATED
IA0053-002,Coralville Public Library,Central Library,1401 5Th St,Coralville,IA,52241,(319) 248-1850,Johnson,41.6772075,-91.5818517,STREET_ADDRESS: ROOFTOP
IA0053,Coralville Public Library,Library System,1401 5Th St,Coralville,IA,52241,(319) 248-1850,Johnson,41.6772075,-91.5818517,STREET_ADDRESS: ROOFTOP
IA0293-002,Corning Public Library,Central Library,603 9Th St,Corning,IA,50841,(641) 322-3866,Adams,40.9909178,-94.7352097,STREET_ADDRESS: RANGE_INTERPOLATED
IA0293,Corning Public Library,Library System,603 9Th St,Corning,IA,50841,(641) 322-3866,Adams,40.9909178,-94.7352097,STREET_ADDRESS: RANGE_INTERPOLATED
IA0228-002,Correctionville Public Library,Central Library,532 Driftwood St,Correctionville,IA,51016,(712) 342-4203,Woodbury,42.4757166,-95.7857613,STREET_ADDRESS: RANGE_INTERPOLATED
IA0228,Correctionville Public Library,Library System,532 Driftwood St,Correctionville,IA,51016,(712) 342-4203,Woodbury,42.4757166,-95.7857613,STREET_ADDRESS: RANGE_INTERPOLATED
IA0094-002,Corwith Public Library,Central Library,110 Nw Elm St,Corwith,IA,50430,(515) 583-2536,Hancock,42.9921136,-93.9566312,STREET_ADDRESS: RANGE_INTERPOLATED
IA0094,Corwith Public Library,Library System,110 Nw Elm St,Corwith,IA,50430,(515) 583-2536,Hancock,42.9921136,-93.9566312,STREET_ADDRESS: RANGE_INTERPOLATED
IA0009-002,Karl Miles Lecompte Memorial Library,Central Library,110 S Franklin St,Corydon,IA,50060,(641) 872-1621,Wayne,40.7576985,-93.3188817,STREET_ADDRESS: RANGE_INTERPOLATED
IA0009,Karl Miles Lecompte Memorial Library,Library System,110 S Franklin St,Corydon,IA,50060,(641) 872-1621,Wayne,40.7576985,-93.3188817,STREET_ADDRESS: RANGE_INTERPOLATED
IA0222-002,Coulter Public Library,Central Library,111 Main St,Coulter,IA,50431,(641) 866-6798,Franklin,42.736319,-93.3699661,STREET_ADDRESS: RANGE_INTERPOLATED
IA0222,Coulter Public Library,Library System,111 Main St,Coulter,IA,50431,(641) 866-6798,Franklin,42.736319,-93.3699661,STREET_ADDRESS: RANGE_INTERPOLATED
IA0453-002,Council Bluffs Public Library,Central Library,400 Willow Ave,Council Bluffs,IA,51503,(712) 323-7553,Pottawattamie,41.258894,-95.849753,STREET_ADDRESS: ROOFTOP
IA0453,Council Bluffs Public Library,Library System,400 Willow Ave,Council Bluffs,IA,51503,(712) 323-7553,Pottawattamie,41.258894,-95.849753,STREET_ADDRESS: ROOFTOP
IA0400-002,Cresco Public Library,Central Library,320 N Elm St,Cresco,IA,52136,(563) 547-2540,Howard,43.3751695,-92.1159586,STREET_ADDRESS: RANGE_INTERPOLATED
IA0400,Cresco Public Library,Library System,320 N Elm St,Cresco,IA,52136,(563) 547-2540,Howard,43.3751695,-92.1159586,STREET_ADDRESS: RANGE_INTERPOLATED
IA0010-002,Matilda J. Gibson Memorial Library,Central Library,200 W Howard St,Creston,IA,50801,(641) 782-2277,Union,41.0609297,-94.362687,STREET_ADDRESS: RANGE_INTERPOLATED
IA0010,Matilda J. Gibson Memorial Library,Library System,200 W Howard St,Creston,IA,50801,(641) 782-2277,Union,41.0609297,-94.362687,STREET_ADDRESS: RANGE_INTERPOLATED
IA0557-002,Jem Center Public Library,Central Library,120 E 5Th St,Crystal Lake,IA,50432,(641) 565-3325,Hancock,43.2206093,-93.792874,STREET_ADDRESS: RANGE_INTERPOLATED
IA0557,Juanita Earp Media Center,Library System,120 E 5Th St,Crystal Lake,IA,50432,(641) 565-3325,Hancock,43.2206093,-93.792874,STREET_ADDRESS: RANGE_INTERPOLATED
IA0449-002,Cumberland Public Library,Central Library,119 Main,Cumberland,IA,50843,(712) 774-5334,Cass,41.272393,-94.8704883,STREET_ADDRESS: RANGE_INTERPOLATED
IA0449,Cumberland Public Library,Library System,119 Main,Cumberland,IA,50843,(712) 774-5334,Cass,41.272393,-94.8704883,STREET_ADDRESS: RANGE_INTERPOLATED
IA0577-001,Cushing Community Library,Central Library,202 Main St,Cushing,IA,51018,(712) 384-2501,Woodbury,42.4656032,-95.6752206,STREET_ADDRESS: RANGE_INTERPOLATED
IA0577,Cushing Community Library,Library System,202 Main St,Cushing,IA,51018,(712) 384-2501,Woodbury,42.4656032,-95.6752206,STREET_ADDRESS: RANGE_INTERPOLATED
IA0028-002,Roy R. Estle Memorial Library,Central Library,1308 Walnut St,Dallas Center,IA,50063,(515) 992-3185,Dallas,41.6843462,-93.9601234,STREET_ADDRESS: RANGE_INTERPOLATED
IA0028,Roy R. Estle Memorial Library,Library System,1308 Walnut St,Dallas Center,IA,50063,(515) 992-3185,Dallas,41.6843462,-93.9601234,STREET_ADDRESS: RANGE_INTERPOLATED
IA0229-003,Cord Memorial Library,Branch Library,215 Main St,Danbury,IA,51019,(712) 883-2207,Woodbury,42.2345605,-95.7218326,STREET_ADDRESS: RANGE_INTERPOLATED
IA0355-002,Davenport Public Library,Central Library,321 Main St,Davenport,IA,52801,(563) 326-7832,Scott,41.5226651,-90.5755541,STREET_ADDRESS: RANGE_INTERPOLATED
IA0355,Davenport Public Library,Library System,321 Main St,Davenport,IA,52801,(563) 326-7832,Scott,41.5226651,-90.5755541,STREET_ADDRESS: RANGE_INTERPOLATED
IA0355-003,Fairmount Street Branch,Branch Library,3000 N Fairmount St,Davenport,IA,52804,(563) 326-7893,Scott,41.5516882,-90.6315639,STREET_ADDRESS: ROOFTOP
IA0355-005,Eastern Avenue Branch Library,Branch Library,6000 Eastern Ave,Davenport,IA,52807,(563) 326-7832,Scott,41.6100065,-90.5163312,POSTAL_CODE: APPROXIMATE
IA0261-002,Dayton Public Library,Central Library,22 First St Nw,Dayton,IA,50530,(515) 547-2700,Webster,42.2616946,-94.0697345,STREET_ADDRESS: RANGE_INTERPOLATED
IA0261,Dayton Public Library,Library System,22 First St Nw,Dayton,IA,50530,(515) 547-2700,Webster,42.2616946,-94.0697345,STREET_ADDRESS: RANGE_INTERPOLATED
IA0156-002,De Soto Public Library,Central Library,405 Walnut St,De Soto,IA,50069,(515) 834-2690,Dallas,41.529914,-94.007396,STREET_ADDRESS: ROOFTOP
IA0156,De Soto Public Library,Library System,405 Walnut St,De Soto,IA,50069,(515) 834-2690,Dallas,41.529914,-94.007396,STREET_ADDRESS: ROOFTOP
IA0404-002,Decorah Public Library,Central Library,202 Winnebago St,Decorah,IA,52101,(563) 382-3717,Winneshiek,43.3031853,-91.7871536,STREET_ADDRESS: RANGE_INTERPOLATED
IA0404,Decorah Public Library,Library System,202 Winnebago St,Decorah,IA,52101,(563) 382-3717,Winneshiek,43.3031853,-91.7871536,STREET_ADDRESS: RANGE_INTERPOLATED
IA0143-002,Delhi Public Library,Central Library,316A Franklin St,Delhi,IA,52223,(563) 922-2037,Delaware,42.4296621,-91.3311355,STREET_ADDRESS: RANGE_INTERPOLATED
IA0143,Delhi Public Library,Library System,316A Franklin St,Delhi,IA,52223,(563) 922-2037,Delaware,42.4296621,-91.3311355,STREET_ADDRESS: RANGE_INTERPOLATED
IA0481-002,Norelius Community Library,Central Library,1403 1St Ave South,Denison,IA,51442,(712) 263-9355,Crawford,42.0156139,-95.3537743,STREET_ADDRESS: RANGE_INTERPOLATED
IA0481,Norelius Community Library,Library System,1403 1St Ave South,Denison,IA,51442,(712) 263-9355,Crawford,42.0156139,-95.3537743,STREET_ADDRESS: RANGE_INTERPOLATED
IA0333-002,Denver Public Library,Central Library,100 Washington St,Denver,IA,50622,(319) 984-5140,Bremer,42.6737589,-92.3372586,STREET_ADDRESS: RANGE_INTERPOLATED
IA0333,Denver Public Library,Library System,100 Washington St,Denver,IA,50622,(319) 984-5140,Bremer,42.6737589,-92.3372586,STREET_ADDRESS: RANGE_INTERPOLATED
IA0027,Des Moines Public Library,Library System,1000 Grand Ave,Des Moines,IA,50309,(515) 283-4152,Polk,41.5816456,-93.6243133,POSTAL_CODE: APPROXIMATE
IA0027-002,Des Moines Public Library,Central Library,1000 Grand Ave,Des Moines,IA,50309,(515) 283-4152,Polk,41.5861189,-93.630861,STREET_ADDRESS: ROOFTOP
IA0027-006,Franklin Avenue Library,Branch Library,5000 Franklin Ave,Des Moines,IA,50310,(515) 283-4271,Polk,41.6108819,-93.688213,STREET_ADDRESS: ROOFTOP
IA0027-008,North Side Library,Branch Library,3516 5Th Ave,Des Moines,IA,50313,(515) 283-4941,Polk,41.627374,-93.6238569,STREET_ADDRESS: ROOFTOP
IA0027-007,Forest Avenue,Branch Library,1326 Forest Ave,Des Moines,IA,50314,(515) 283-4152,Polk,41.6036843,-93.6356746,STREET_ADDRESS: ROOFTOP
IA0027-004,South Side Library,Branch Library,1111 Sw Porter Ave,Des Moines,IA,50315,(515) 283-4940,Polk,41.5337562,-93.6291408,STREET_ADDRESS: RANGE_INTERPOLATED
IA0027-005,East Side Library,Branch Library,259 Hubbell Ave,Des Moines,IA,50317,(515) 265-8555,Polk,41.6270155,-93.5485065,ROUTE: GEOMETRIC_CENTER
IA0474-002,Frances Banta Waggoner Community Library,Central Library,505 10Th St,Dewitt,IA,52742,(563) 659-5523,Clinton,41.8250756,-90.5378879,STREET_ADDRESS: ROOFTOP
IA0474,Frances Banta Waggoner Community Library,Library System,505 10Th St,Dewitt,IA,52742,(563) 659-5523,Clinton,41.8250756,-90.5378879,STREET_ADDRESS: ROOFTOP
IA0029-002,Dexter Public Library,Central Library,724 Marshall,Dexter,IA,50070,(515) 789-4490,Dallas,41.516849,-94.228425,STREET_ADDRESS: ROOFTOP
IA0029,Dexter Public Library,Library System,724 Marshall,Dexter,IA,50070,(515) 789-4490,Dallas,41.516849,-94.228425,STREET_ADDRESS: ROOFTOP
IA0530-002,Dickens Public Library,Central Library,210 Main St,Dickens,IA,51333,(712) 836-2217,Clay,43.132183,-95.0235019,STREET_ADDRESS: ROOFTOP
IA0530,Dickens Public Library,Library System,210 Main St,Dickens,IA,51333,(712) 836-2217,Clay,43.132183,-95.0235019,STREET_ADDRESS: ROOFTOP
IA0129-002,Dike Public Library,Central Library,133 E Elder,Dike,IA,50624,(319) 989-2608,Grundy,42.4651464,-92.6277182,STREET_ADDRESS: RANGE_INTERPOLATED
IA0129,Dike Public Library,Library System,133 E Elder,Dike,IA,50624,(319) 989-2608,Grundy,42.4651464,-92.6277182,STREET_ADDRESS: RANGE_INTERPOLATED
IA0209-002,Donnellson Public Library,Central Library,500 Park,Donnellson,IA,52625,(319) 835-5545,Lee,40.6426573,-91.5658224,STREET_ADDRESS: RANGE_INTERPOLATED
IA0209,Donnellson Public Library,Library System,500 Park,Donnellson,IA,52625,(319) 835-5545,Lee,40.6426573,-91.5658224,STREET_ADDRESS: RANGE_INTERPOLATED
IA0531-002,Doon Public Library,Central Library,207 Barton Ave,Doon,IA,51235,(712) 726-3526,Lyon,43.277057,-96.2313836,STREET_ADDRESS: RANGE_INTERPOLATED
IA0531,Doon Public Library,Library System,207 Barton Ave,Doon,IA,51235,(712) 726-3526,Lyon,43.277057,-96.2313836,STREET_ADDRESS: RANGE_INTERPOLATED
IA0513-002,Dow City Public Library,Central Library,104 S Franklin St,Dow City,IA,51528,(712) 674-3453,Crawford,41.929927,-95.4961703,STREET_ADDRESS: RANGE_INTERPOLATED
IA0513,Dow City Public Library,Library System,104 S Franklin St,Dow City,IA,51528,(712) 674-3453,Crawford,41.929927,-95.4961703,STREET_ADDRESS: RANGE_INTERPOLATED
IA0083-002,Dows Community Library,Central Library,114 W Ellsworth St,Dows,IA,50071,(515) 852-4326,Wright,42.6565661,-93.501351,STREET_ADDRESS: RANGE_INTERPOLATED
IA0083,Dows Community Library,Library System,114 W Ellsworth St,Dows,IA,50071,(515) 852-4326,Wright,42.6565661,-93.501351,STREET_ADDRESS: RANGE_INTERPOLATED
IA0147-002,Carnegie-Stout Public Library,Central Library,360 W 11Th St,Dubuque,IA,52001,(563) 589-4225,Dubuque,42.5028067,-90.6700733,STREET_ADDRESS: RANGE_INTERPOLATED
IA0147,Carnegie-Stout Public Library,Library System,360 W 11Th St,Dubuque,IA,52001,(563) 589-4225,Dubuque,42.5028067,-90.6700733,STREET_ADDRESS: RANGE_INTERPOLATED
IA0509-002,Dumont Community Library,Central Library,602 2Nd St,Dumont,IA,50625,(641) 857-3304,Butler,42.7500581,-92.9719025,STREET_ADDRESS: RANGE_INTERPOLATED
IA0509,Dumont Community Library,Library System,602 2Nd St,Dumont,IA,50625,(641) 857-3304,Butler,42.7500581,-92.9719025,STREET_ADDRESS: RANGE_INTERPOLATED
IA0377-002,Duncombe Public Library,Central Library,621 Prince St,Duncombe,IA,50532,(515) 543-4646,Webster,42.4693334,-93.9941244,STREET_ADDRESS: RANGE_INTERPOLATED
IA0377,Duncombe Public Library,Library System,621 Prince St,Duncombe,IA,50532,(515) 543-4646,Webster,42.4693334,-93.9941244,STREET_ADDRESS: RANGE_INTERPOLATED
IA0327-002,Dunkerton Public Library,Central Library,203 E Tower St,Dunkerton,IA,50626,(319) 822-4610,Black Hawk,42.5680414,-92.1593356,STREET_ADDRESS: RANGE_INTERPOLATED
IA0327,Dunkerton Public Library,Library System,203 E Tower St,Dunkerton,IA,50626,(319) 822-4610,Black Hawk,42.5680414,-92.1593356,STREET_ADDRESS: RANGE_INTERPOLATED
IA0485,Dunlap Public Library,Library System,102 S 10Th St,Dunlap,IA,51529,(712) 643-5311,Harrison,41.8539702,-95.5962747,STREET_ADDRESS: RANGE_INTERPOLATED
IA0485-002,Dunlap Public Library,Central Library,102 S 10Th St,Dunlap,IA,51529,(712) 643-5311,Harrison,41.8543292,-95.6019662,LOCALITY: APPROXIMATE
IA0356-006,Durant Station,Branch Library,402 6Th St,Durant,IA,52747,(319) 785-4725,Cedar,41.6023888,-90.9141797,STREET_ADDRESS: RANGE_INTERPOLATED
IA0334-002,James Kennedy Public Library,Central Library,320 1St Ave E,Dyersville,IA,52040,(563) 875-8912,Dubuque,42.4848524,-91.121099,STREET_ADDRESS: ROOFTOP
IA0334,James Kennedy Public Library,Library System,320 1St Ave E,Dyersville,IA,52040,(563) 875-8912,Dubuque,42.4848524,-91.121099,STREET_ADDRESS: ROOFTOP
IA0367-002,Norma Anders Public Library,Central Library,320 Main,Dysart,IA,52224,(319) 476-5210,Tama,42.1715807,-92.306284,STREET_ADDRESS: RANGE_INTERPOLATED
IA0367,Norma Anders Public Library,Library System,320 Main,Dysart,IA,52224,(319) 476-5210,Tama,42.1715807,-92.306284,STREET_ADDRESS: RANGE_INTERPOLATED
IA0274-002,Eagle Grove Memorial Library,Central Library,101 S Cadwell,Eagle Grove,IA,50533,(515) 448-4115,Wright,42.6640699,-93.9073855,STREET_ADDRESS: RANGE_INTERPOLATED
IA0274,Eagle Grove Memorial Library,Library System,101 S Cadwell,Eagle Grove,IA,50533,(515) 448-4115,Wright,42.6640699,-93.9073855,STREET_ADDRESS: RANGE_INTERPOLATED
IA0038-002,Earlham Public Library,Central Library,120 S Chestnut,Earlham,IA,50072,(515) 758-2121,Madison,41.491221,-94.1229334,STREET_ADDRESS: RANGE_INTERPOLATED
IA0038,Earlham Public Library,Library System,120 S Chestnut,Earlham,IA,50072,(515) 758-2121,Madison,41.491221,-94.1229334,STREET_ADDRESS: RANGE_INTERPOLATED
IA0144-002,Ruth Suckow Memorial Library,Central Library,122 Northern Ave,Earlville,IA,52041,(563) 923-5235,Delaware,42.4821153,-91.2723942,STREET_ADDRESS: RANGE_INTERPOLATED
IA0144,Ruth Suckow Memorial Library,Library System,122 Northern Ave,Earlville,IA,52041,(563) 923-5235,Delaware,42.4821153,-91.2723942,STREET_ADDRESS: RANGE_INTERPOLATED
IA0232-002,Early Public Library,Central Library,107 Main St,Early,IA,50535,(712) 273-5334,Sac,42.4605696,-95.1521986,STREET_ADDRESS: RANGE_INTERPOLATED
IA0232,Early Public Library,Library System,107 Main St,Early,IA,50535,(712) 273-5334,Sac,42.4605696,-95.1521986,STREET_ADDRESS: RANGE_INTERPOLATED
IA0299-002,Eddyville Public Library,Central Library,202 S 2Nd St,Eddyville,IA,52553,(641) 969-4815,Wapello,41.1573723,-92.6377621,STREET_ADDRESS: RANGE_INTERPOLATED
IA0299,Eddyville Public Library,Library System,202 S 2Nd St,Eddyville,IA,52553,(641) 969-4815,Wapello,41.1573723,-92.6377621,STREET_ADDRESS: RANGE_INTERPOLATED
IA0134-002,Edgewood Public Library,Central Library,203 W Union St,Edgewood,IA,52042,(563) 928-6242,Clayton,42.6444596,-91.4024784,STREET_ADDRESS: RANGE_INTERPOLATED
IA0134,Edgewood Public Library,Library System,203 W Union St,Edgewood,IA,52042,(563) 928-6242,Clayton,42.6444596,-91.4024784,STREET_ADDRESS: RANGE_INTERPOLATED
IA0351-002,Elberon Public Library,Central Library,106 Main St,Elberon,IA,52225,(319) 439-5345,Tama,42.0038448,-92.3167461,STREET_ADDRESS: RANGE_INTERPOLATED
IA0351,Elberon Public Library,Library System,106 Main St,Elberon,IA,52225,(319) 439-5476,Tama,42.0061054,-92.3168534,LOCALITY: APPROXIMATE
IA0011-002,Eldon Public Library,Central Library,608 W Elm,Eldon,IA,52554,(641) 652-7517,Wapello,40.9193433,-92.2244457,STREET_ADDRESS: RANGE_INTERPOLATED
IA0011,Eldon Public Library,Library System,608 W Elm,Eldon,IA,52554,(641) 652-7517,Wapello,40.9193433,-92.2244457,STREET_ADDRESS: RANGE_INTERPOLATED
IA0100-002,Eldora Public Library,Central Library,1202 10Th St,Eldora,IA,50627,(641) 939-2173,Hardin,42.3615435,-93.0959104,STREET_ADDRESS: RANGE_INTERPOLATED
IA0100,Eldora Public Library,Library System,1202 10Th St,Eldora,IA,50627,(641) 939-2173,Hardin,42.3615435,-93.0959104,STREET_ADDRESS: RANGE_INTERPOLATED
IA0356-002,Scott County Library System,Central Library,200 N 6Th Ave,Eldridge,IA,52748,(563) 285-4794,Scott,41.656279,-90.5762419,STREET_ADDRESS: ROOFTOP
IA0356,Scott County Library System,Library System,200 N 6Th Ave,Eldridge,IA,52748,(563) 285-4794,Scott,41.656279,-90.5762419,STREET_ADDRESS: ROOFTOP
IA0356-003,Scott County Library System Bookmobile,Bookmobile,200 N 6Th Ave,Eldridge,IA,52748,(319) 285-4794,Scott,41.656279,-90.5762419,STREET_ADDRESS: ROOFTOP
IA0386-002,Elgin Public Library,Central Library,214 Main St,Elgin,IA,52141,(563) 426-5313,Fayette,42.956645,-91.6283341,STREET_ADDRESS: RANGE_INTERPOLATED
IA0386,Elgin Public Library,Library System,214 Main St,Elgin,IA,52141,(563) 426-5313,Fayette,42.956645,-91.6283341,STREET_ADDRESS: RANGE_INTERPOLATED
IA0226-002,Elk Horn Public Library,Central Library,2027 Washington,Elk Horn,IA,51531,(712) 764-2013,Shelby,41.5916615,-95.0592004,STREET_ADDRESS: ROOFTOP
IA0226,Elk Horn Public Library,Library System,2027 Washington,Elk Horn,IA,51531,(712) 764-2013,Shelby,41.5916615,-95.0592004,STREET_ADDRESS: ROOFTOP
IA0135-002,Elkader Public Library,Central Library,130 N Main St,Elkader,IA,52043,(563) 245-1446,Clayton,42.8547649,-91.4046472,STREET_ADDRESS: RANGE_INTERPOLATED
IA0135,Elkader Public Library,Library System,130 N Main St,Elkader,IA,52043,(563) 245-1446,Clayton,42.8547649,-91.4046472,STREET_ADDRESS: RANGE_INTERPOLATED
IA0434-002,Elliott Public Library,Central Library,401 Main St,Elliott,IA,51532,(712) 767-2355,Montgomery,41.1492735,-95.1627358,STREET_ADDRESS: RANGE_INTERPOLATED
IA0434,Elliott Public Library,Library System,401 Main St,Elliott,IA,51532,(712) 767-2355,Montgomery,41.1492735,-95.1627358,STREET_ADDRESS: RANGE_INTERPOLATED
IA0087-002,Ellsworth Public Library,Central Library,1549 Dewitt St,Ellsworth,IA,50075,(515) 836-4852,Hamilton,42.3121674,-93.5788126,STREET_ADDRESS: RANGE_INTERPOLATED
IA0087,Ellsworth Public Library,Library System,1549 Dewitt St,Ellsworth,IA,50075,(515) 836-4852,Hamilton,42.3121674,-93.5788126,STREET_ADDRESS: RANGE_INTERPOLATED
IA0401-002,Elma Public Library,Central Library,710 Busti Ave,Elma,IA,50628,(641) 393-8100,Howard,43.247715,-92.4358817,STREET_ADDRESS: RANGE_INTERPOLATED
IA0401,Elma Public Library,Library System,710 Busti Ave,Elma,IA,50628,(641) 393-8100,Howard,43.247715,-92.4358817,STREET_ADDRESS: RANGE_INTERPOLATED
IA0198-002,Ely Public Library,Central Library,1595 Dows St,Ely,IA,52227,(319) 848-7616,Linn,41.873421,-91.585939,STREET_ADDRESS: ROOFTOP
IA0198,Ely Public Library,Library System,1595 Dows St,Ely,IA,52227,(319) 848-7616,Linn,41.873421,-91.585939,STREET_ADDRESS: ROOFTOP
IA0442-002,Emerson Public Library,Central Library,701 Morton Ave,Emerson,IA,51533,(712) 824-7867,Mills,41.0169606,-95.40249,STREET_ADDRESS: RANGE_INTERPOLATED
IA0442,Emerson Public Library,Library System,701 Morton Ave,Emerson,IA,51533,(712) 824-7867,Mills,41.0169606,-95.40249,STREET_ADDRESS: RANGE_INTERPOLATED
IA0120-002,Emmetsburg Public Library,Central Library,707 N Superior,Emmetsburg,IA,50536,(712) 852-4009,Palo Alto,43.1263846,-94.6888525,STREET_ADDRESS: RANGE_INTERPOLATED
IA0120,Emmetsburg Public Library,Library System,707 N Superior,Emmetsburg,IA,50536,(712) 852-4009,Palo Alto,43.1263846,-94.6888525,STREET_ADDRESS: RANGE_INTERPOLATED
IA0148-005,Epworth Branch,Branch Library,110 Bierman Rd,Epworth,IA,52045,(563) 876-3388,Dubuque,42.445929,-90.919335,STREET_ADDRESS: ROOFTOP
IA0433-002,Lied Public Library-Essex,Central Library,508 Iowa Ave,Essex,IA,51638,(712) 379-3355,Page,40.8334336,-95.3071496,STREET_ADDRESS: RANGE_INTERPOLATED
IA0433,Lied Public Library-Essex,Library System,508 Iowa Ave,Essex,IA,51638,(712) 379-3355,Page,40.8334336,-95.3071496,STREET_ADDRESS: RANGE_INTERPOLATED
IA0103-002,Estherville Public Library,Central Library,613 Central Ave,Estherville,IA,51334,(712) 362-7731,Emmet,43.4019714,-94.8364875,STREET_ADDRESS: RANGE_INTERPOLATED
IA0103,Estherville Public Library,Library System,613 Central Ave,Estherville,IA,51334,(712) 362-7731,Emmet,43.4019714,-94.8364875,STREET_ADDRESS: RANGE_INTERPOLATED
IA0332-002,Evansdale Public Library,Central Library,123 N Evans Rd,Evansdale,IA,50707,(319) 232-5367,Black Hawk,42.477576,-92.288102,STREET_ADDRESS: RANGE_INTERPOLATED
IA0332,Evansdale Public Library,Library System,123 N Evans Rd,Evansdale,IA,50707,(319) 232-5367,Black Hawk,42.477576,-92.288102,STREET_ADDRESS: RANGE_INTERPOLATED
IA0525-002,Everly Public Library,Central Library,308 N Main,Everly,IA,51338,(712) 834-2390,Clay,43.160755,-95.3268,STREET_ADDRESS: ROOFTOP
IA0525,Everly Public Library,Library System,308 N Main,Everly,IA,51338,(712) 834-2390,Clay,43.160755,-95.3268,STREET_ADDRESS: ROOFTOP
IA0234-002,Exira Public Library,Central Library,114 W Washington,Exira,IA,50076,(712) 268-5489,Audubon,41.5911667,-94.8765281,STREET_ADDRESS: RANGE_INTERPOLATED
IA0234,Exira Public Library,Library System,114 W Washington,Exira,IA,50076,(712) 268-5489,Audubon,41.5911667,-94.8765281,STREET_ADDRESS: RANGE_INTERPOLATED
IA0339,Fairbank Public Library,Library System,212 Main St,Fairbank,IA,50629,(319) 635-2487,Buchanan,42.639221,-92.056269,ROUTE: GEOMETRIC_CENTER
IA0339-002,Fairbank Public Library,Central Library,212 Main St,Fairbank,IA,50629,(319) 635-2487,Buchanan,42.6393034,-92.0494191,STREET_ADDRESS: RANGE_INTERPOLATED
IA0352-002,Fairfax Public Library,Central Library,313 Vanderbilt St,Fairfax,IA,52228,(319) 846-2994,Linn,41.919683,-91.781008,STREET_ADDRESS: ROOFTOP
IA0352,Fairfax Public Library,Library System,313 Vanderbilt St,Fairfax,IA,52228,(319) 846-2994,Linn,41.919683,-91.781008,STREET_ADDRESS: ROOFTOP
IA0012,Fairfield Public Library,Library System,104 W Adams Ave,Fairfield,IA,52556,(641) 472-6551,Jefferson,41.0044462,-91.9643352,STREET_ADDRESS: ROOFTOP
IA0012-002,Fairfield Public Library,Central Library,104 W Adams Ave,Fairfield,IA,52556,(641) 472-6551,Jefferson,41.0044462,-91.9643352,STREET_ADDRESS: ROOFTOP
IA0148-006,Farley Branch,Branch Library,310 4Th St Sw,Farley,IA,52046,(319) 744-3577,Dubuque,42.4405148,-91.0102367,STREET_ADDRESS: RANGE_INTERPOLATED
IA0500-002,Farmersburg Public Library,Central Library,208 S Main,Farmersburg,IA,52047,(563) 536-2229,Clayton,42.9590869,-91.3680516,STREET_ADDRESS: RANGE_INTERPOLATED
IA0500,Farmersburg Public Library,Library System,208 S Main,Farmersburg,IA,52047,(563) 536-2229,Clayton,42.9590869,-91.3680516,STREET_ADDRESS: RANGE_INTERPOLATED
IA0205-002,Farmington Public Library,Central Library,205 Elm,Farmington,IA,52626,(319) 878-3702,Van Buren,40.6403317,-91.7428903,STREET_ADDRESS: RANGE_INTERPOLATED
IA0205,Farmington Public Library,Library System,205 Elm,Farmington,IA,52626,(319) 878-3702,Van Buren,40.6403317,-91.7428903,STREET_ADDRESS: RANGE_INTERPOLATED
IA0522-002,Farnhamville Public Library,Central Library,240 Hardin,Farnhamville,IA,50538,(515) 544-3660,Calhoun,42.2759604,-94.4066587,ROUTE: GEOMETRIC_CENTER
IA0522,Farnhamville Public Library,Library System,240 Hardin,Farnhamville,IA,50538,(515) 544-3660,Calhoun,42.2759691,-94.4031147,STREET_ADDRESS: RANGE_INTERPOLATED
IA0387-002,Fayette Community Library,Central Library,104 W State St,Fayette,IA,52142,(563) 425-3344,Fayette,42.8432966,-91.8022354,STREET_ADDRESS: RANGE_INTERPOLATED
IA0387,Fayette Community Library,Library System,104 W State St,Fayette,IA,52142,(563) 425-3344,Fayette,42.8432966,-91.8022354,STREET_ADDRESS: RANGE_INTERPOLATED
IA0272-002,Fenton Public Library,Central Library,605 Maple St,Fenton,IA,50539,(515) 889-2333,Kossuth,43.2177736,-94.4272482,STREET_ADDRESS: RANGE_INTERPOLATED
IA0272,Fenton Public Library,Library System,605 Maple St,Fenton,IA,50539,(515) 889-2333,Kossuth,43.2177736,-94.4272482,STREET_ADDRESS: RANGE_INTERPOLATED
IA0277-002,Fertile Public Library,Central Library,204 W Main St,Fertile,IA,50434,(641) 797-2787,Worth,43.2640559,-93.4203401,STREET_ADDRESS: RANGE_INTERPOLATED
IA0277,Fertile Public Library,Library System,204 W Main St,Fertile,IA,50434,(641) 797-2787,Worth,43.2640559,-93.4203401,STREET_ADDRESS: RANGE_INTERPOLATED
IA0171,Fonda Public Library,Library System,104 W 2Nd St,Fonda,IA,50540,(712) 288-4466,Pocahontas,42.5812545,-94.8460428,STREET_ADDRESS: RANGE_INTERPOLATED
IA0171-002,Fonda Public Library,Central Library,104 W 2Nd St,Fonda,IA,50540,(712) 288-4466,Pocahontas,42.5812545,-94.8460428,STREET_ADDRESS: RANGE_INTERPOLATED
